Ride Name,Ride Width,Ride Length,Clearance A,Clearance B,Notes
Bounce,20,25,,,
Century Wheel,53,35,12,,
Cliffhanger,64,70,27,,
Crystal Lils,70,18,6,,9-48-13>
Dizzy Dragon,30,33,18,,"(8'6"")"
Dragon Wagon,70,30,3,,<22-28-17
Euro Wheel,48,22,7,,
Farm Train,60,30,21,,<14-32-14
Freak Out,48,56,14,,>
Fury,53,30,10,,<17-53-17> OR-5'
Himalaya,55,46,22,,BS-16'
Magic Maze,70,18,6,,9-48-13>
MGR,42,42,24,,
Mini MGR,22,25,14,,
Motorcycles,30,33,18,,
Raiders,60,18,6,,16-28-24>
Ring,60,40(60),16,,7-46-7>
Rockstar,50,24,10,,22-50-10> BS-6'
Sand Storm,50,24,10,,20-48-56>
Sizzler,60,60,,,
Slide,20,105,4,12,04
Speedway,55,22,10,,<7-24-7
Starship,56,40,10,,<4-46-6 BS-13'
Swings,30,30,10,,
Tornado,45,30,,,
Vertigo,80,40,,,
Wacky Shack,40,16,9,"50'6""",13>
Zero Gravity,70,30,,,
Zipper,50-56,60,13,,21-8-21(3)
